id;sku;name;category;quantity
ART-001;CR-A-01;Акрилова фарба (ультрамарин 100мл);Фарби;45
ART-002;BR-F-03;Пензель колонок №2 (круглий);Пензлі;120
ART-003;CV-L-10;Полотно на підрамнику 30х40 см;Полотна;25
ART-004;MK-W-02;Бджолиний віск пасічний (1кг);Для писанок;15
ART-005;MK-K-05;Писачки латунні (набір 3 шт);Для писанок;30
ART-006;PT-G-01;Гуаш художня (набір 12 кольорів);Фарби;18
ART-007;MK-A-09;Барвник для яєць аніліновий червоний;Для писанок;50
ART-008;CK-P-14;Папір акварельний A4 (200 г/м2);Папір;60
ART-009;DR-P-02;Пастель суха (набір 24 кольори);Графіка;12
ART-010;BR-H-07;Пензель синтетика плоский №10;Пензлі;90
ART-011;CR-B-05;Клей ПВА будівельний-універсальний;Додатково
ART-012;DR-S-11;Скетчбук для маркерів А5;Папір;багато
ART-013;;Олівець графічний HB;Графіка;40
